,culture,CorM,positions,0,100,300,500,780,1000,poly_0,poly_100,poly_300,poly_500,poly_780,poly_1000,depth_0,depth_100,depth_300,depth_500,depth_780,depth_1000,entry_type,REF,ALT,mutation_detail,snp_type,evidence_type,locus_tag,gene_product,Unnamed: 0
0,H1,M,53149.0,0.0,0.0,0.337974072,0.0,0.5948290820000001,0.0,0.0,0.0,0.337974072,0.0,0.5948290820000001,0.0,0.0,0.0,571.0,0.0,501.0,0.0,SNP,C,T,T,intergenic,RA,DVU0047/DVU0048,flagellar protein FliL/chemotaxis protein MotB,
1,H1,M,141978.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.997970581,1.0,0.0,0.0,521.0,37.0,481.0,6.0,SNP,A,C,C,nonsynonymous,RA,DVU0109,sensor histidine kinase,
2,H1,M,283173.0,0.0,0.0,0.174861248,1.0,0.484840429,1.0,0.0,0.0,0.174861248,1.0,0.484840429,1.0,0.0,0.0,,,,,DEL,NC_002937,283203,30,,JC,DVU0247/DVU0249,response regulator/hypothetical protein,
3,H1,M,667787.0,0.0,0.0,0.0,1.0,0.449659348,1.0,0.0,0.0,0.0,1.0,0.449659348,1.0,0.0,0.0,0.0,22.0,512.0,16.0,SNP,G,T,T,nonsynonymous,RA,DVU0597,regulatory protein LytS,
4,H1,M,772592.0,0.0,0.0,0.0,0.0,0.449940681,1.0,0.0,0.0,0.0,0.0,0.449940681,0.928658962,0.0,0.0,0.0,0.0,469.0,14.0,SNP,G,A,A,intergenic,RA,DVU4027/DVU0696,hypothetical protein/hypothetical protein,
5,H1,M,831187.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,DEL,T,.,1,,RA,DVU0742,hypothetical protein,
6,H1,M,884091.0,0.0,0.0,0.0,0.0,0.543889999,0.0,0.0,0.0,0.0,0.0,0.543889999,0.0,0.0,0.0,0.0,0.0,410.0,0.0,SNP,C,T,T,nonsense,RA,DVU0797,hypothetical protein,
7,H1,M,886367.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,DEL,NC_002937,886366,3,,JC,DVU0799,hypothetical protein,
8,H1,M,886371.0,0.0,0.0,0.0,1.0,0.440560651,0.0,0.0,0.0,0.0,1.0,0.440560651,0.0,0.0,0.0,0.0,,,0.0,DEL,NC_002937,886374,3,,JC,DVU0799,hypothetical protein,
9,H1,M,1099235.0,0.0,0.0,0.0,0.0,0.580168776,0.0,0.0,0.0,0.0,0.0,0.580168776,0.0,0.0,0.0,0.0,0.0,,0.0,DEL,NC_002937,1099322,87,,JC,DVU1002,hypothetical protein,
10,H1,M,1270799.0,0.0,0.0,0.0,0.0,0.117524624,1.0,0.0,0.0,0.0,0.0,0.117524624,1.0,0.0,0.0,0.0,0.0,519.0,4.0,DEL,G,.,1,,RA,DVU1179,tungsten-containing aldehyde:ferredoxin oxidoreductase,
11,H1,M,1306202.0,0.0,0.0,0.07554864879999999,1.0,0.430687428,1.0,0.0,0.0,0.07554864879999999,1.0,0.430687428,0.899999619,0.0,0.0,450.0,25.0,404.0,10.0,DEL,C,.,1,,RA,DVU1214,dolichyl-phosphate-mannose-protein mannosyltransferase,
12,H1,M,1306669.0,0.0,0.0,0.277022362,0.0,0.5012555120000001,0.0,0.0,0.0,0.277022362,0.0,0.5012555120000001,0.0,0.0,0.0,444.0,0.0,397.0,0.0,DEL,A,.,1,,RA,DVU1214,dolichyl-phosphate-mannose-protein mannosyltransferase,
13,H1,M,1410745.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.995227814,0.969755173,1.0,1.0,0.0,0.0,408.0,33.0,416.0,6.0,SNP,T,C,C,nonsynonymous,RA,DVU1333,hypothetical protein,
14,H1,M,1600087.0,0.0,0.0,0.29701423600000004,0.0,0.527237892,0.0,0.0,0.0,0.29701423600000004,0.0,0.527237892,0.0,0.0,0.0,441.0,0.0,425.0,0.0,SNP,A,G,G,nonsynonymous,RA,DVU1530,metallo-beta-lactamase,
15,H1,M,2077759.0,0.0,0.0,0.222382069,1.0,0.4961824420000001,1.0,0.0,0.0,0.222382069,0.968801498,0.4961824420000001,0.857204437,0.0,0.0,490.0,32.0,418.0,7.0,SNP,T,G,G,nonsynonymous,RA,DVU1995,anti-anti-sigma factor,
16,H1,M,2131225.0,0.0,0.0,0.412881374,0.0,0.0,0.0,0.0,0.0,0.412881374,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,SNP,G,A,A,nonsense,RA,DVU2052,glycosyl transferase group 2 family protein,
17,H1,M,2475837.0,0.0,0.0,0.456278801,0.0,0.0,0.0,0.0,0.0,0.456278801,0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,SNP,G,A,A,nonsynonymous,RA,DVU2376,lysyl-tRNA synthetase,
18,H1,M,2747459.0,0.0,0.0,0.278052807,0.0,0.545804501,0.0,0.0,0.0,0.278052807,0.0,0.545804501,0.0,0.0,0.0,712.0,0.0,682.0,0.0,SNP,C,T,T,synonymous,RA,DVU2630,lipoprotein,
19,H1,M,2992872.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.936046512,0.0,0.0,0.0,0.0,0.0,,DEL,NC_002937,2993024,152,,JC,[DVU2894]–[DVU2895],"[DVU2894],[DVU2895]",
20,H1,M,3303192.0,0.0,0.0,0.0,0.0,0.164068699,1.0,0.0,0.0,0.0,0.0,0.164068699,1.0,0.0,0.0,0.0,0.0,432.0,5.0,SNP,T,G,G,nonsynonymous,RA,DVU3150,30S ribosomal protein S1,
21,H1,M,3536768.0,0.0,0.0,0.14938405,1.0,0.482048388,1.0,0.0,0.0,0.14938405,1.0,0.482048388,1.0,0.0,0.0,,,,,DEL,NC_002937,3536796,28,,JC,DVU3364,hypothetical protein,
